trigger_name;schedule_name;cron;job_name;estado;nota;actualizado
sdlf-bigdata-sp-contco-seguros-tg;sdlf-bigdata-sp-contco-seguros-tg-schedule;cron(30 10 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-cptp-aceptacion-pop-up-cc-remunerada-glue-trigger;sdlf-bigdata-sp-cptp-aceptacion-pop-up-cc-remunerada-glue-schedule;cron(05 18 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-cptp-aceptacion-pop-up-vinculadores-glue-trigger;sdlf-bigdata-sp-cptp-aceptacion-pop-up-vinculadores-glue-schedule;cron(0 16,20 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;revisar;nombre >64 chars: renombrar a mano;2026-09-02 12:26:37
sdlf-bigdata-sp-cptp-baja-planes-glue-trigger;sdlf-bigdata-sp-cptp-baja-planes-glue-schedule;cron(00 15 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-cptp-camada-cc-trigger;sdlf-bigdata-sp-cptp-camada-cc-schedule;cron(00 14 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-cptp-cierre-saldos-cc-glue-trigger;sdlf-bigdata-sp-cptp-cierre-saldos-cc-glue-schedule;cron(05 15 3 * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-cptp-cierre-saldos-cv-glue-trigger;sdlf-bigdata-sp-cptp-cierre-saldos-cv-glue-schedule;cron(05 15 3 * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-cptp-crea-tablas-tef-glue-trigger;sdlf-bigdata-sp-cptp-crea-tablas-tef-glue-schedule;cron(00 12 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-cptp-directorio-ctacte-trigger;sdlf-bigdata-sp-cptp-directorio-ctacte-schedule;cron(00 14 ? * FRI *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-cptp-flujo-contingencia-cupones-glue-trigger;sdlf-bigdata-sp-cptp-flujo-contingencia-cupones-glue-schedule;cron(00 13 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-cptp-new-reporte-abr-glue-trigger;sdlf-bigdata-sp-cptp-new-reporte-abr-glue-schedule;cron(00 11 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-cptp-oferta-linea-credito-glue-trigger;sdlf-bigdata-sp-cptp-oferta-linea-credito-glue-schedule;cron(30 15 3,4,5,6,7,8 * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-cptp-panel-adquisicion-glue-trigger;sdlf-bigdata-sp-cptp-panel-adquisicion-glue-schedule;cron(30 14,19 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;migrado;"trigger estaba ACTIVATED; schedule quedó ENABLED";2026-09-02 12:37:37
sdlf-bigdata-sp-cptp-panel-cc-trigger;sdlf-bigdata-sp-cptp-panel-cc-schedule;cron(00 14 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-cptp-panel-directorio-cc-resumen-glue-job;sdlf-bigdata-sp-cptp-panel-directorio-cc-resumen-glue-job-schedule;cron(00 17 ? * WED *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-cptp-panel-planes;sdlf-bigdata-sp-cptp-panel-planes-schedule;cron(30 14 ? * * *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-cptp-panels-dap-trigger;sdlf-bigdata-sp-cptp-panels-dap-schedule;cron(00 14 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-cptp-radiografia-cv-trigger;sdlf-bigdata-sp-cptp-radiografia-cv-schedule;cron(00 15 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-cptp-reporte-cc-remunerada-glue-trigger;sdlf-bigdata-sp-cptp-reporte-cc-remunerada-glue-schedule;cron(00 19 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-cptp-reporte-dap-trigger;sdlf-bigdata-sp-cptp-reporte-dap-schedule;cron(00 14 ? * MON,TUE,WED,THU,FRI *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-cptp-saldo-dap-cierre-glue-trigger;sdlf-bigdata-sp-cptp-saldo-dap-cierre-glue-schedule;cron(27 15 ? * * *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-cptp-seguimiento-piloto-planes-presencial-glue-trigger;sdlf-bigdata-sp-cptp-seguimiento-piloto-planes-presencial-glue-schedule;cron(05 16,21 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;revisar;nombre schedule >64 chars (71): renombrar a mano;2026-09-02 12:36:56
sdlf-bigdata-sp-cptp-var-saldos-cc-cv-mes-actual-glue-trigger;sdlf-bigdata-sp-cptp-var-saldos-cc-cv-mes-actual-glue-schedule;cron(00 14 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-cptp-var-saldos-dap-diario-glue-trigger;sdlf-bigdata-sp-cptp-var-saldos-dap-diario-glue-schedule;cron(00 15 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-cptp-var-saldos-dap-ult-mes-cerrado-glue-trigger;sdlf-bigdata-sp-cptp-var-saldos-dap-ult-mes-cerrado-glue-schedule;cron(00 14 1,2,3 * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-cptp-vencimiento-dap-trigger;sdlf-bigdata-sp-cptp-vencimiento-dap-schedule;cron(00 14 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-cptp-vencimientos-dap-trigger;sdlf-bigdata-sp-cptp-vencimientos-dap-schedule;cron(00 14 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-ctbl-base-nombres-itf-glue-trigger;sdlf-bigdata-sp-ctbl-base-nombres-itf-glue-schedule;cron(22 17 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-ctbl-build-consentimientos-datamart-glue-trigger;sdlf-bigdata-sp-ctbl-build-consentimientos-datamart-glue-schedule;cron(00 19 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-ctbl-consent-sms-datamaster-glue-trigger;sdlf-bigdata-sp-ctbl-consent-sms-datamaster-glue-schedule;cron(30 13 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-ctbl-consent-wsp-datamaster-glue-trigger;sdlf-bigdata-sp-ctbl-consent-wsp-datamaster-glue-schedule;cron(30 13 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-ctbl-consentimientos-glue-trigger;sdlf-bigdata-sp-ctbl-consentimientos-glue-schedule;cron(00 11 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-ctbl-contactabilidad-capta-panel-integral-glue-trigger;sdlf-bigdata-sp-ctbl-contactabilidad-capta-panel-integral-glue-schedule;cron(00 14 1 * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-ctbl-data-contacto-oc-glue-trigger;sdlf-bigdata-sp-ctbl-data-contacto-oc-glue-schedule;cron(10 9 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-ctbl-data-journeys-glue-trigger;sdlf-bigdata-sp-ctbl-data-journeys-glue-schedule;cron(00 15 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-ctbl-direcciones-glue-trigger;sdlf-bigdata-sp-ctbl-direcciones-glue-schedule;cron(0 8 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-ctbl-email-autom-refactor-glue-trigger;sdlf-bigdata-sp-ctbl-email-autom-refactor-glue-schedule;cron(0 12 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-ctbl-extraccion-bopers-glue-trigger;sdlf-bigdata-sp-ctbl-extraccion-bopers-glue-schedule;cron(00 10 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-ctbl-inhibir-not-call-area-seguros-glue-trigger;sdlf-bigdata-sp-ctbl-inhibir-not-call-area-seguros-glue-schedule;cron(30 7 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-ctbl-lnegro-car-trigger;sdlf-bigdata-sp-ctbl-lnegro-car-schedule;cron(55 8 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-ctbl-marca-contactabilidad-rut-glue-trigger;sdlf-bigdata-sp-ctbl-marca-contactabilidad-rut-glue-schedule;cron(0 12 ? * * *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-ctbl-oferta-tc-td-glue-trigger;sdlf-bigdata-sp-ctbl-oferta-tc-td-glue-schedule;cron(55 12 ? * * *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-ctbl-ppff-valida-trx-consumo-glue-trigger;sdlf-bigdata-sp-ctbl-ppff-valida-trx-consumo-glue-schedule;cron(00 14 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-ctbl-proc-contact-fonos-movil-glue-trigger;sdlf-bigdata-sp-ctbl-proc-contact-fonos-movil-glue-schedule;cron(45 1 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-ctbl-proc-demo-basket-glue-trigger;sdlf-bigdata-sp-ctbl-proc-demo-basket-glue-schedule;cron(00 12 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-ctbl-quiero-ser-cliente-glue-trigger;sdlf-bigdata-sp-ctbl-quiero-ser-cliente-glue-schedule;cron(00 12 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-ctbl-reporte-data-contacto-adquisicion-glue-trigger;sdlf-bigdata-sp-ctbl-reporte-data-contacto-adquisicion-glue-schedule;cron(10 17 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-ctbl-resumen-inhibiciones-sernac-glue-trigger;sdlf-bigdata-sp-ctbl-resumen-inhibiciones-sernac-glue-schedule;cron(00 11 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-ctbl-rutero-dir-rfraude-glue-trigger;sdlf-bigdata-sp-ctbl-rutero-dir-rfraude-glue-schedule;cron(10 15,20,2 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;migrado;"trigger estaba ACTIVATED; schedule quedó ENABLED";2026-09-02 12:37:39
sdlf-bigdata-sp-ctbl-seg-ac-dat-bop-glue-trigger;sdlf-bigdata-sp-ctbl-seg-ac-dat-bop-glue-schedule;cron(00 10 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-ctbl-sender-notcall-ccr-glue-trigger;sdlf-bigdata-sp-ctbl-sender-notcall-ccr-glue-schedule;cron(00 9 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-ctbl-sernac-auris-glue-trigger;sdlf-bigdata-sp-ctbl-sernac-auris-glue-schedule;cron(0 1 ? * MON-FRI *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-ctbl-sernac-inhib-parte3-notcall-glue-trigger;sdlf-bigdata-sp-ctbl-sernac-inhib-parte3-notcall-glue-schedule;cron(15 8 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-ctbl-sernac-inhibir-parte1-banco-glue-trigger;sdlf-bigdata-sp-ctbl-sernac-inhibir-parte1-banco-glue-schedule;cron(0 8 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-ctbl-sernac-qa-trigger;sdlf-bigdata-sp-ctbl-sernac-qa-schedule;cron(50 9 ? * * *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-ctbl-tr-captados-glue-trigger;sdlf-bigdata-sp-ctbl-tr-captados-glue-schedule;cron(00 15 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-ctbl-tr-fechas-glue-trigger;sdlf-bigdata-sp-ctbl-tr-fechas-glue-schedule;cron(01 4 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-ctbl-user-info-autom-glue-trigger;sdlf-bigdata-sp-ctbl-user-info-autom-glue-schedule;cron(25 13 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-ctbl-wca-sms-email-glue-trigger;sdlf-bigdata-sp-ctbl-wca-sms-email-glue-schedule;cron(35 8 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-cupon-ref-glue-trigger;sdlf-bigdata-sp-cupon-ref-glue-schedule;cron(40 18 ? * * *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-dgtl-bases-diarias-glue-trigger;sdlf-bigdata-sp-dgtl-bases-diarias-glue-schedule;cron(30 9 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-dgtl-captacion-rmkt-tc-glue-trigger;sdlf-bigdata-sp-dgtl-captacion-rmkt-tc-glue-schedule;cron(30 20 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-dgtl-envios-synerise-trigger;sdlf-bigdata-sp-dgtl-envios-synerise-schedule;cron(00 12 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-dgtl-envios_datos_automaticos-glue-trigger;sdlf-bigdata-sp-dgtl-envios_datos_automaticos-glue-schedule;cron(0 19 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-dgtl-evolutivo-login-glue-trigger;sdlf-bigdata-sp-dgtl-evolutivo-login-glue-schedule;cron(30 14 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-dgtl-funnel-cuotizacion;sdlf-bigdata-sp-dgtl-funnel-cuotizacion-schedule;cron(00 13 ? * MON,TUE,WED,THU,FRI *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-dgtl-funnel-dap-glue-trigger;sdlf-bigdata-sp-dgtl-funnel-dap-glue-schedule;cron(00 15 ? * MON-FRI *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-dgtl-funnel-leads-ppff-glue-trigger;sdlf-bigdata-sp-dgtl-funnel-leads-ppff-glue-schedule;cron(15 7 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-dgtl-funnel-por-hora-glue-trigger;sdlf-bigdata-sp-dgtl-funnel-por-hora-glue-schedule;cron(0 12-0,1-4 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;migrado;"trigger estaba ACTIVATED; schedule quedó ENABLED";2026-09-02 12:37:40
sdlf-bigdata-sp-dgtl-funnel-ppff-captacion;sdlf-bigdata-sp-dgtl-funnel-ppff-captacion-schedule;cron(55 13 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-dgtl-funnel-ppff-glue-trigger;sdlf-bigdata-sp-dgtl-funnel-ppff-glue-schedule;cron(30 14 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-dgtl-grupos-facturacion-tenencia-td-login-glue-trigger;sdlf-bigdata-sp-dgtl-grupos-facturacion-tenencia-td-login-glue-schedule;cron(0 19 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-dgtl-interaccion-synerise-glue-trigger;sdlf-bigdata-sp-dgtl-interaccion-synerise-glue-schedule;cron(0 17 ? * * *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-dgtl-leads-ppff-glue-trigger;sdlf-bigdata-sp-dgtl-leads-ppff-glue-schedule;cron(00 15 ? * MON,TUE,WED,THU,FRI *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-dgtl-logeos-internet-glue-trigger;sdlf-bigdata-sp-dgtl-logeos-internet-glue-schedule;cron(00 14 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-dgtl-login-pwa-glue-trigger;sdlf-bigdata-sp-dgtl-login-pwa-glue-schedule;cron(0 15 ? * MON-FRI *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-dgtl-modelo-campanas-sms-glue-trigger;sdlf-bigdata-sp-dgtl-modelo-campanas-sms-glue-schedule;cron(30 14 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-dgtl-oferta-perfil-login-curses-glue-trigger;sdlf-bigdata-sp-dgtl-oferta-perfil-login-curses-glue-schedule;cron(05 19 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-dgtl-perfil-digital-login-glue-trigger;sdlf-bigdata-sp-dgtl-perfil-digital-login-glue-schedule;cron(30 19 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-dgtl-perfilamiento-curses-pwa-glue-trigger;sdlf-bigdata-sp-dgtl-perfilamiento-curses-pwa-glue-schedule;cron(00 20 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-dgtl-reporte-campanas-glue-trigger;sdlf-bigdata-sp-dgtl-reporte-campanas-glue-schedule;cron(00 9 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-dgtl-reporte-captacion-glue-trigger;sdlf-bigdata-sp-dgtl-reporte-captacion-glue-schedule;cron(20 16 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-dgtl-reporte-rpass-nuevo-glue-trigger;sdlf-bigdata-sp-dgtl-reporte-rpass-nuevo-glue-schedule;cron(0 21 ? * MON-FRI *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-dgtl-rpass-push-glue-trigger;sdlf-bigdata-sp-dgtl-rpass-push-glue-schedule;cron(0 15 ? * mon-fri *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-dgtl-simulaciones-internet-auto-glue-trigger;sdlf-bigdata-sp-dgtl-simulaciones-internet-auto-glue-schedule;cron(00 19 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-dgtl-tablon-comunicacional-buckets-glue-trigger;sdlf-bigdata-sp-dgtl-tablon-comunicacional-buckets-glue-schedule;cron(00 12 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-dgtl-venta-ripley-oferta-tc-glue-trigger;sdlf-bigdata-sp-dgtl-venta-ripley-oferta-tc-glue-schedule;cron(0 14 ? * * *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-dgtl-venta-seguros-real-glue-trigger;sdlf-bigdata-sp-dgtl-venta-seguros-real-glue-schedule;cron(00 14 ? * THU *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-digital-ppff-rmkt-push-glue-trigger;sdlf-bigdata-sp-digital-ppff-rmkt-push-glue-schedule;cron(00 11 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-digital-recordatorio-ppff-push-glue-trigger;sdlf-bigdata-sp-digital-recordatorio-ppff-push-glue-schedule;cron(0 14 ? * mon-fri *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-earq-count-dup-cdcreporitf-glue-trigger;sdlf-bigdata-sp-earq-count-dup-cdcreporitf-glue-schedule;cron(10 4 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-earq-count-dup-cdcreporitf2-glue-trigger;sdlf-bigdata-sp-earq-count-dup-cdcreporitf2-glue-schedule;cron(10 07 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-earq-count-dup-glue-trigger;sdlf-bigdata-sp-earq-count-dup-glue-schedule;cron(40 3 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-earq-seguim-uso-tablas-redshift-dm-glue-trigger;sdlf-bigdata-sp-earq-seguim-uso-tablas-redshift-dm-glue-schedule;cron(15 */3 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;migrado;"trigger estaba ACTIVATED; schedule quedó ENABLED";2026-09-02 12:37:41
sdlf-bigdata-sp-earq-shared-planif-com-glue-trigger;sdlf-bigdata-sp-earq-shared-planif-com-glue-schedule;cron(00 1 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-earq-shared-tablas-bopers-glue-trigger;sdlf-bigdata-sp-earq-shared-tablas-bopers-glue-schedule;cron(0 7 ? * * *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-earq-tablas-actualizacion-glue-trigger;sdlf-bigdata-sp-earq-tablas-actualizacion-glue-schedule;cron(0 13,15,18,20,22 ? * MON-FRI *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-earq-update-mpdt004-glue-trigger;sdlf-bigdata-sp-earq-update-mpdt004-glue-schedule;cron(25 12 ? * * *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-earq-update-mpdt011-glue-trigger;sdlf-bigdata-sp-earq-update-mpdt011-glue-schedule;cron(47 12 ? * * *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-earq-update-mpdt012-glue-trigger;sdlf-bigdata-sp-earq-update-mpdt012-glue-schedule;cron(47 12 ? * * *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-earq-update-mpdt113-glue-trigger;sdlf-bigdata-sp-earq-update-mpdt113-glue-schedule;cron(44 12 ? * * *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-earq-update-mpdt151-glue-trigger;sdlf-bigdata-sp-earq-update-mpdt151-glue-schedule;cron(40 12,13 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;migrado;"trigger estaba ACTIVATED; schedule quedó ENABLED";2026-09-02 12:37:42
sdlf-bigdata-sp-earq-update-mpdt182-glue-trigger;sdlf-bigdata-sp-earq-update-mpdt182-glue-schedule;cron(43 12 ? * * *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-earq-update-mpdt205-glue-trigger;sdlf-bigdata-sp-earq-update-mpdt205-glue-schedule;cron(42 12 ? * * *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-earq-update-mpdt206-glue-trigger;sdlf-bigdata-sp-earq-update-mpdt206-glue-schedule;cron(42 12 ? * * *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-earq-update-mpdt207-glue-trigger;sdlf-bigdata-sp-earq-update-mpdt207-glue-schedule;cron(45 12 ? * * *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-earq-update-mpdt209-glue-trigger;sdlf-bigdata-sp-earq-update-mpdt209-glue-schedule;cron(45 12 ? * * *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-earq-update-mpdt462-glue-trigger;sdlf-bigdata-sp-earq-update-mpdt462-glue-schedule;cron(40 12 ? * * *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-fact-email-reimpresion-tam-glue-trigger;sdlf-bigdata-sp-fact-email-reimpresion-tam-glue-schedule;cron(30 13 ? * MON *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-funnel-ppff-presencial-glue-trigger;sdlf-bigdata-sp-funnel-ppff-presencial-glue-schedule;cron(00 14 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-mdpg-analisis-cuotas-depto-glue-trigger;sdlf-bigdata-sp-mdpg-analisis-cuotas-depto-glue-schedule;cron(0 14 ? * * *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-mdpg-cascada-medio-pago-glue-trigger;sdlf-bigdata-sp-mdpg-cascada-medio-pago-glue-schedule;cron(0 14 ? * MON *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-mdpg-clave-coordenadas-glue-trigger;sdlf-bigdata-sp-mdpg-clave-coordenadas-glue-schedule;cron(0 0 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-mdpg-clave-unica-glue-trigger;sdlf-bigdata-sp-mdpg-clave-unica-glue-schedule;cron(0 0 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-mdpg-cliente-unico-vn-glue-trigger;sdlf-bigdata-sp-mdpg-cliente-unico-vn-glue-schedule;cron(00 19 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-mdpg-contratos-itf-glue-trigger;sdlf-bigdata-sp-mdpg-contratos-itf-glue-schedule;cron(00 19 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-sp-mdpg-cup-presencial-glue-trigger;sdlf-bigdata-sp-mdpg-cup-presencial-glue-schedule;cron(05 14 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
