trigger_name;schedule_name;cron;job_name;estado;nota;actualizado
sdlf-bigdata-clts-marca-pan-anterior-glue-trigger;sdlf-bigdata-clts-marca-pan-anterior-glue-schedule;cron(12 7 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;migrado;"trigger estaba CREATED; schedule quedó DISABLED";2026-09-02 13:06:47
sdlf-bigdata-clts-matriz-rentabilidad-banco-retail-glue-trigger;sdlf-bigdata-clts-matriz-rentabilidad-banco-retail-glue-schedule;cron(23 15 5 * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-clts-matriz-rentabilidad-banco-retail-mujeres-c1c2c3-glue-trigger;sdlf-bigdata-clts-matriz-rentabilidad-banco-retail-mujeres-c1c2c3-glue-schedule;cron(38 15 5 * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-clts-matriz-rentabilidad-corp-glue-trigger;sdlf-bigdata-clts-matriz-rentabilidad-corp-glue-schedule;cron(25 15 5 * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-clts-matriz-rentabilidad-retail-glue-trigger;sdlf-bigdata-clts-matriz-rentabilidad-retail-glue-schedule;cron(33 15 5 * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;pendiente;;
sdlf-bigdata-clts-planes.recaudacion-glue-trigger;sdlf-bigdata-clts-planes.recaudacion-glue-schedule;cron(00 18 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;migrado;"trigger estaba ACTIVATED; schedule quedó ENABLED";2026-09-02 13:06:48
sdlf-bigdata-clts-productos-segmentos-glue-trigger;sdlf-bigdata-clts-productos-segmentos-glue-schedule;cron(5 1-9,12-0 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;migrado;ambos apagados: trigger CREATED + schedule DISABLED;2026-09-02 12:12:42
sdlf-bigdata-clts-sp-bases-giftcard-latam-glue-trigger;sdlf-bigdata-clts-sp-bases-giftcard-latam-glue-schedule;cron(30 16 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;migrado;"trigger estaba ACTIVATED; schedule quedó ENABLED";2026-09-02 13:06:49
sdlf-bigdata-clts-sp-seguimiento-canjes-glue-trigger;sdlf-bigdata-clts-sp-seguimiento-canjes-glue-schedule;cron(00 16 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;migrado;"trigger estaba ACTIVATED; schedule quedó ENABLED";2026-09-02 13:06:50
sdlf-bigdata-clts-universo-panes-glue-trigger;sdlf-bigdata-clts-universo-panes-glue-schedule;cron(30 12 * * ? *);sdlf-bigdata-redshift-segmentation-schedule-glue-job;migrado;"trigger estaba ACTIVATED; schedule quedó ENABLED";2026-09-02 13:06:51
