trigger_name;job_name;tipo;estado_glue;cron;clasificacion;Decision
sdlf-bigdata-excrt2-retail-hourly-data-extraction-glue-job;sdlf-bigdata-dataextraction-runner-glue-job;SCHEDULED;ACTIVATED;cron(50 0-7,10-22 * * ? *);migrable;migrar
sdlf-bigdata-wildcard-am-glue-trigger;sdlf-bigdata-dataextraction-runner-glue-job;SCHEDULED;ACTIVATED;cron(15 9 * * ? *);migrable;migrar
sdlf-bigdata-digital-google-analytics-privatesite-glue-trigger;sdlf-bigdata-digital-google-analytics-glue-job;SCHEDULED;ACTIVATED;cron(00 13 * * ? *);migrable;migrar
sdlf-bigdata-digital-google-analytics-publicsite-glue-trigger;sdlf-bigdata-digital-google-analytics-glue-job;SCHEDULED;ACTIVATED;cron(00 13 * * ? *);migrable;migrar
sdlf-bigdata-ec2-starter-trigger;sdlf-bigdata-ec2-auto-stop-psh-glue-job;SCHEDULED;DEACTIVATED;cron(0 11 ? * MON-FRI *);migrable;migrar
sdlf-bigdata-ec2-stopper-trigger;sdlf-bigdata-ec2-auto-stop-psh-glue-job;SCHEDULED;ACTIVATED;cron(0 0 ? * MON-FRI *);migrable;migrar
sdlf-bigdata-expired-password-repitfh-glue-trigger;sdlf-bigdata-expired-password-oracle-glue-job;SCHEDULED;ACTIVATED;cron(57 11 * * ? *);migrable;migrar
sdlf-bigdata-flujo-cupones-monitor-psh-glue-trigger;sdlf-bigdata-flujo-cupones-monitor-psh;SCHEDULED;DEACTIVATED;cron(0 * ? * * *);migrable;migrar
sdlf-bigdata-get-acoustic-connect-signals-glue-trigger;sdlf-bigdata-get-acoustic-connect-signals-glue-job;SCHEDULED;ACTIVATED;cron(0 10-0 * * ? *);migrable;migrar
sdlf-bigdata-get-cobranzas-feedback-email-glue-trigger;sdlf-bigdata-get-cobranzas-feedback-email-glue-job;SCHEDULED;ACTIVATED;cron(00 4 * * ? *);migrable;migrar
sdlf-bigdata-customer360-workflow-daily-glue-trigger;sdlf-bigdata-jobs-launcher-psh-glue-job;SCHEDULED;ACTIVATED;cron(30 12 * * ? *);migrable;migrar
sdlf-bigdata-customer360-workflow-vespertino-glue-trigger;sdlf-bigdata-jobs-launcher-psh-glue-job;SCHEDULED;ACTIVATED;cron(30 19 * * ? *);migrable;migrar
sdlf-bigdata-notebooks-killer;sdlf-bigdata-lambda-ecr-code-deploy;SCHEDULED;ACTIVATED;cron(00 23 * * ? *);migrable;migrar
sdlf-bigdata-mdpg-final-modelo-fuga-glue-trigger;sdlf-bigdata-mdpg-modelo-fuga-glue-job;SCHEDULED;ACTIVATED;cron(00 11 6 * ? *);migrable;migrar
sdlf-bigdata-neptune-analytics-start;sdlf-bigdata-neptune-analytics-scheduler;SCHEDULED;ACTIVATED;cron(0 11 ? * MON-FRI *);migrable;migrar
sdlf-bigdata-neptune-analytics-stop;sdlf-bigdata-neptune-analytics-scheduler;SCHEDULED;ACTIVATED;cron(0 1 ? * TUE-SAT *);migrable;migrar
sdlf-bigdata-ppff-stock-dap-tg-cierre-job;sdlf-bigdata-ppff-stock-dap-glue-job;SCHEDULED;ACTIVATED;cron(00 12 1 * ? *);migrable;migrar
sdlf-bigdata-r04-bancostxt-sftp-runner-glue-trigger;sdlf-bigdata-process-bancostxt-file-glue-job;SCHEDULED;ACTIVATED;cron(02 23 * * ? *);migrable;migrar
sdlf-bigdata-ra-deuda-cinta-sftp-runner-glue-trigger;sdlf-bigdata-process-deudacinta-file-glue-job;SCHEDULED;ACTIVATED;cron(00 17 * * ? *);migrable;migrar
sdlf-bigdata-processtxt-d10-bco-file-glue-trigger;sdlf-bigdata-process-txt-files-glue-job;SCHEDULED;ACTIVATED;cron(00 23 * * ? *);migrable;migrar
sdlf-bigdata-processtxt-d10-car-file-glue-trigger;sdlf-bigdata-process-txt-files-glue-job;SCHEDULED;ACTIVATED;cron(00 23 * * ? *);migrable;migrar
sdlf-bigdata-processtxt-mpj15005-file-glue-trigger;sdlf-bigdata-process-txt-files-glue-job;SCHEDULED;ACTIVATED;cron(00 10 * * ? *);migrable;migrar
sdlf-bigdata-processtxt-r111-file-glue-trigger;sdlf-bigdata-process-txt-files-glue-job;SCHEDULED;ACTIVATED;cron(00 15 * * ? *);migrable;migrar
sdlf-bigdata-processtxt-rpt-normativo-bic-bco-glue-trigger;sdlf-bigdata-process-txt-files-glue-job;SCHEDULED;ACTIVATED;cron(00 5 * * ? *);migrable;migrar
sdlf-bigdata-processtxt-ws031-mpdt007-file-glue-trigger;sdlf-bigdata-process-txt-files-glue-job;SCHEDULED;ACTIVATED;cron(50 10 * * ? *);migrable;migrar
sdlf-bigdata-sp-tracing-sp-dependencies-glue-trigger;sdlf-bigdata-psfc1-glue-job;SCHEDULED;ACTIVATED;cron(10 4 * * ? *);migrable;migrar
sdlf-bigdata-raw-ingestion-confluence-trigger;sdlf-bigdata-raw-ingestion-confluence-psh-glue-job;SCHEDULED;ACTIVATED;cron(59 0/1 * * ? *);migrable;migrar
sdlf-bigdata-sp-clts-bases-cumpleanos-puntos-glue-trigger;sdlf-bigdata-redshift-segmentation-schedule-glue-job;SCHEDULED;ACTIVATED;cron(00 13 1 * ? *);migrable;migrar
sdlf-bigdata-sp-run-clts-cactivos-universo-adquisicion-10-05-glue-trigger;sdlf-bigdata-redshift-segmentation-schedule-glue-job;SCHEDULED;ACTIVATED;cron(5 13 ? * * *);migrable;migrar
sdlf-bigdata-update-redshift-tables-use-glue-trigger;sdlf-bigdata-redshift-tables-use-glue-job;SCHEDULED;ACTIVATED;cron(5 0/1 * * ? *);migrable;migrar
sdlf-bigdata-redshift-triggers2-catalogue-tables-glue-job;sdlf-bigdata-redshift-triggers2-glue-job;SCHEDULED;ACTIVATED;cron(37 21 ? * * *);migrable;migrar
sdlf-bigdata-redshift-users-map-glue-trigger;sdlf-bigdata-redshift-users-map-psh-glue-job;SCHEDULED;ACTIVATED;cron(0 7 * * ? *);migrable;migrar
sdlf-bigdata-reduce-partition-files-data-quality-logs-glue-trigger;sdlf-bigdata-reduce-partition-files-glue-job;SCHEDULED;ACTIVATED;cron(10 9 * * ? *);migrable;migrar
sdlf-bigdata-reduce-partition-files-vwj08750001-glue-trigger;sdlf-bigdata-reduce-partition-files-glue-job;SCHEDULED;ACTIVATED;cron(05 9 * * ? *);migrable;migrar
sdlf-bigdata-reduce-partition-files-vwj08850001-glue-trigger;sdlf-bigdata-reduce-partition-files-glue-job;SCHEDULED;ACTIVATED;cron(15 9 * * ? *);migrable;migrar
sdlf-bigdata-retail-ingestion-glue-trigger;sdlf-bigdata-retail-ingestion-glue-job;SCHEDULED;DEACTIVATED;cron(05 11 * * ? *);migrable;borrar
sdlf-bigdata-segmento-comercial-glue-job;sdlf-bigdata-segmento-comercial-glue-job;SCHEDULED;ACTIVATED;cron(30 4 * * ? *);migrable;migrar
