trigger_original;schedule_en_aws;len_antes;len_despues;motivo_renombrado
sdlf-bigdata-redshift-to-lake-segurosripley-trx-sav-glue-trigger;redshift-to-lake-segurosripley-trx-sav-schedule;64;47;nombre >64 chars
sdlf-bigdata-redshift-triggers2-catalogue-tables-glue-job;redshift-triggers2-catalogue-tables-glue-job-schedule;57;53;nombre >64 chars
sdlf-bigdata-reduce-partition-files-data-quality-logs-glue-trigger;reduce-partition-files-data-quality-logs-schedule;66;49;nombre >64 chars
sdlf-bigdata-rstl-cobranzas-cgdm-fact-mejor-gestion-diaria-glue-trigger;rstl-cobranzas-cgdm-fact-mejor-gestion-diaria-schedule;71;54;nombre >64 chars
sdlf-bigdata-rstl-cobranzas-fact-modelo-contactabilidad-glue-trigger;rstl-cobranzas-fact-modelo-contactabilidad-schedule;68;51;nombre >64 chars
sdlf-bigdata-rstl-schm_contactabilidad-nacionalidad_bopers-glue-trigger;rstl-schm_contactabilidad-nacionalidad_bopers-schedule;71;54;nombre >64 chars
sdlf-bigdata-rstl-schm_insight-rentabilidad_12m_directorios-glue-trigger;rstl-schm_insight-rentabilidad_12m_directorios-schedule;72;55;nombre >64 chars
sdlf-bigdata-rstl-schm_productos_financieros-ppff_avance_fin-glue-trigger;rstl-schm_productos_financieros-ppff_avance_fin-schedule;73;56;nombre >64 chars
sdlf-bigdata-rstl-schm_productos_financieros-ppff_consumo_fin-glue-trigger;rstl-schm_productos_financieros-ppff_consumo_fin-schedule;74;57;nombre >64 chars
sdlf-bigdata-rstl-schm_productos_financieros-ppff_ref_fin-glue-trigger;rstl-schm_productos_financieros-ppff_ref_fin-schedule;70;53;nombre >64 chars
sdlf-bigdata-rstl-schm_productos_financieros-ppff_sav_fin-glue-trigger;rstl-schm_productos_financieros-ppff_sav_fin-schedule;70;53;nombre >64 chars
sdlf-bigdata-run_sp_cptp_seguimiento_vinculacion_abr_pat_cof-glue-trigger;run_sp_cptp_seguimiento_vinculacion_abr_pat_cof-schedule;73;56;nombre >64 chars
sdlf-bigdata-sftpperu-reporte-binacional-extraction-glue-trigger;sftpperu-reporte-binacional-extraction-schedule;64;47;nombre >64 chars
sdlf-bigdata-sftpperu-tipo-cambio-binacional-extraction-glue-trigger;sftpperu-tipo-cambio-binacional-extraction-schedule;68;51;nombre >64 chars
sdlf-bigdata-sp-clts-bases-cumpleaños-puntos-glue-trigger;sdlf-bigdata-sp-clts-bases-cumpleanos-puntos-glue-schedule;57;58;tilde/ñ
sdlf-bigdata-sp-clts-billeteras-enrolamientos-stock-glue-trigger;sp-clts-billeteras-enrolamientos-stock-schedule;64;47;nombre >64 chars
sdlf-bigdata-sp-clts-estrategias-evaluar-vencimientos-glue-trigger;sp-clts-estrategias-evaluar-vencimientos-schedule;66;49;nombre >64 chars
sdlf-bigdata-sp-clts-matriz-rentabilidad-corp-mujeres-c1c2c3-glue-trigger;sp-clts-matriz-rentabilidad-corp-mujeres-c1c2c3-schedule;73;56;nombre >64 chars
sdlf-bigdata-sp-clts-matriz-rentabilidad-retail-muijeres-c1c2c3-glue-trigger;sp-clts-matriz-rentabilidad-retail-muijeres-c1c2c3-schedule;76;59;nombre >64 chars
sdlf-bigdata-sp-cptp-aceptacion-pop-up-cc-remunerada-glue-trigger;sp-cptp-aceptacion-pop-up-cc-remunerada-schedule;65;48;nombre >64 chars
sdlf-bigdata-sp-cptp-aceptacion-pop-up-vinculadores-glue-trigger;sp-cptp-aceptacion-pop-up-vinculadores-schedule;64;47;nombre >64 chars
sdlf-bigdata-sp-cptp-panel-directorio-cc-resumen-glue-job;sp-cptp-panel-directorio-cc-resumen-glue-job-schedule;57;53;nombre >64 chars
sdlf-bigdata-sp-cptp-seguimiento-piloto-planes-presencial-glue-trigger;sp-cptp-seguimiento-piloto-planes-presencial-schedule;70;53;nombre >64 chars
sdlf-bigdata-sp-cptp-var-saldos-dap-ult-mes-cerrado-glue-trigger;sp-cptp-var-saldos-dap-ult-mes-cerrado-schedule;64;47;nombre >64 chars
sdlf-bigdata-sp-ctbl-build-consentimientos-datamart-glue-trigger;sp-ctbl-build-consentimientos-datamart-schedule;64;47;nombre >64 chars
sdlf-bigdata-sp-ctbl-contactabilidad-capta-panel-integral-glue-trigger;sp-ctbl-contactabilidad-capta-panel-integral-schedule;70;53;nombre >64 chars
sdlf-bigdata-sp-ctbl-reporte-data-contacto-adquisicion-glue-trigger;sp-ctbl-reporte-data-contacto-adquisicion-schedule;67;50;nombre >64 chars
sdlf-bigdata-sp-dgtl-grupos-facturacion-tenencia-td-login-glue-trigger;sp-dgtl-grupos-facturacion-tenencia-td-login-schedule;70;53;nombre >64 chars
sdlf-bigdata-sp-ppff-actualizar-base_ofertas-pd-digital-periodo-glue-trigger;sp-ppff-actualizar-base_ofertas-pd-digital-periodo-schedule;76;59;nombre >64 chars
sdlf-bigdata-sp-ppff-actualizar-sav-motor-mes-actual-glue-trigger;sp-ppff-actualizar-sav-motor-mes-actual-schedule;65;48;nombre >64 chars
sdlf-bigdata-sp-ppff-guarda-historico-segmento-av-sav-glue-trigger;sp-ppff-guarda-historico-segmento-av-sav-schedule;66;49;nombre >64 chars
sdlf-bigdata-sp-ppff-guarda-historico-segmento-consumo-glue-trigger;sp-ppff-guarda-historico-segmento-consumo-schedule;67;50;nombre >64 chars
sdlf-bigdata-sp-run-camp-reporte-consolidado-campanas-glue-trigger;sp-run-camp-reporte-consolidado-campanas-schedule;66;49;nombre >64 chars
sdlf-bigdata-sp-run-clts-cactivos-universo-adquisicion-10:05-glue-trigger;sp-run-clts-cactivos-universo-adquisicion-10-05-schedule;73;56;nombre >64 chars + caracter invalido ':'
sdlf-bigdata-sp-run-clts-cactivos-universo-adquisicion-glue-trigger;sp-run-clts-cactivos-universo-adquisicion-schedule;67;50;nombre >64 chars
sdlf-bigdata-sp-run-cptp-adquisicion-tc-cc-activacion-glue-trigger;sp-run-cptp-adquisicion-tc-cc-activacion-schedule;66;49;nombre >64 chars
sdlf-bigdata-sp-run-cptp-mov-cuenta-corriente-historia-glue-trigger;sp-run-cptp-mov-cuenta-corriente-historia-schedule;67;50;nombre >64 chars
sdlf-bigdata-sp-run-ctbl-consentimiento-vista-consentiemiento-glue-trigger;sp-run-ctbl-consentimiento-vista-consentiemiento-schedule;74;57;nombre >64 chars
sdlf-bigdata-sp-run-ppff-aceptacion-pop-up-cc-remunerada-captados-glue-trigger;sp-run-ppff-aceptacion-pop-up-cc-remunerada-captados-schedule;78;61;nombre >64 chars
sdlf-bigdata-sp-run-ppff-obtencion-clientes-nuevoship-glue-trigger;sp-run-ppff-obtencion-clientes-nuevoship-schedule;66;49;nombre >64 chars
sdlf-bigdata-sp-spos-rubro-preferente-detalle-glue-trigger-rds;sp-spos-rubro-preferente-detalle-glue-trigger-rds-schedule;62;58;nombre >64 chars
sdlf-bigdata-sp-total-clientes-variable-retira-onboarding-trigger;sp-total-clientes-variable-retira-onboarding-schedule;65;53;nombre >64 chars
sdlf-bigdata-uncompress-mae-cob-convenios-car-det-file-glue-trigger;uncompress-mae-cob-convenios-car-det-file-schedule;67;50;nombre >64 chars
sdlf-bigdata-uncompress-mae-cob-convenios-car-s-file-glue-trigger;uncompress-mae-cob-convenios-car-s-file-schedule;65;48;nombre >64 chars
